1224,千歳市,46015,2.821,2.775,0.011,0.035,4.848,13.052,0.359,0.654,7.808,11.977,1.137,1.991,1.502,6.237,4.481,2.934,8.362,0.472,6.454,19.624,5.242,2.988,18.928,78.084
1225,滝川市,18850,4.912,4.801,0.000,0.154,10.286,7.517,0.764,0.451,4.430,16.281,2.101,1.374,2.175,5.369,4.700,4.881,16.414,1.639,6.016,6.716,3.820,5.108,18.671,76.222
1226,砂川市,7740,5.982,5.853,0.000,0.284,11.021,11.370,2.041,0.181,4.535,14.199,1.370,0.904,1.266,5.026,3.320,3.023,20.039,1.641,7.067,4.367,2.364,6.127,23.224,70.650
1227,歌志内市,1306,2.603,2.450,0.000,1.225,13.093,10.873,0.459,0.230,6.049,12.940,1.225,0.613,0.613,5.054,6.432,2.757,18.147,0.766,7.580,9.112,0.230,2.609,25.249,72.141
1228,深川市,10006,17.420,17.050,0.000,0.200,7.426,5.037,0.620,0.210,4.217,13.272,1.469,0.959,2.768,4.997,3.718,4.237,17.989,3.118,5.996,5.237,1.109,17.615,12.804,69.581
1229,富良野市,11843,20.274,19.910,0.000,0.186,7.371,5.835,0.346,0.160,4.323,11.940,1.174,0.633,1.478,9.558,2.820,4.315,13.105,3.614,6.164,4.408,2.297,20.750,13.707,65.543
1230,登別市,21048,0.798,0.784,0.428,0.029,11.787,12.201,0.499,0.546,5.454,15.346,1.349,1.193,1.900,8.737,3.962,4.699,14.581,0.964,8.310,5.530,1.687,1.247,24.429,74.325
1231,恵庭市,31646,3.814,3.716,0.016,0.035,6.127,14.536,0.465,1.296,6.020,14.248,1.327,1.631,1.969,5.599,4.528,3.953,10.602,0.793,6.367,12.634,4.042,3.991,21.569,74.439
1233,伊達市,16124,8.708,8.565,1.557,0.093,8.298,9.563,0.850,0.428,3.672,13.650,1.563,1.030,1.389,6.754,4.130,5.160,20.758,1.631,6.338,3.479,0.949,10.363,18.127,71.511
1234,北広島市,26266,2.121,2.090,0.008,0.069,8.467,8.528,0.495,2.235,8.509,17.597,1.595,1.843,3.053,4.744,4.550,5.528,13.729,0.967,7.515,4.504,3.944,2.216,17.765,80.020
1235,石狩市,26136,3.968,3.914,0.846,0.054,13.483,8.995,0.539,1.561,9.018,17.730,1.312,1.500,2.215,4.220,3.918,3.164,11.387,0.979,7.228,2.770,5.112,5.073,23.746,71.181
1236,北斗市,21715,7.115,6.825,0.709,0.074,10.145,12.070,0.258,0.585,7.829,17.044,1.695,1.294,1.814,5.015,3.785,3.574,13.567,1.133,6.530,2.722,3.044,8.070,22.989,68.942
1300,石狩振興局,9700,19.918,19.763,0.000,0.062,9.660,6.876,0.309,1.309,4.546,13.526,1.216,1.103,1.711,5.072,4.041,3.268,10.216,2.113,6.753,5.340,2.959,20.525,17.104,62.371
1303,当別町,8131,15.472,15.287,0.000,0.074,10.687,7.687,0.357,1.525,5.030,15.017,1.353,1.230,1.882,5.448,4.305,3.284,10.073,1.820,7.551,5.325,1.882,15.768,18.802,65.430
1304,新篠津村,1569,42.957,42.957,0.000,0.000,4.334,2.677,0.064,0.191,2.040,5.800,0.510,0.446,0.829,3.123,2.677,3.187,10.962,3.633,2.613,5.417,8.540,46.969,7.666,45.366
1330,渡島総合振興局,43103,8.612,7.842,9.111,0.067,10.354,13.874,0.782,0.260,4.438,12.039,1.216,0.705,1.121,4.849,2.991,3.789,12.138,1.849,5.148,5.517,1.141,17.927,24.576,57.497
1331,松前町,3251,1.815,0.800,9.320,0.123,11.812,21.532,0.308,0.092,2.799,11.812,1.261,0.246,0.707,3.722,2.891,3.384,11.258,2.430,3.414,11.012,0.062,11.142,33.487,55.371
1332,福島町,1886,1.856,1.485,12.513,0.106,16.596,21.951,0.848,0.106,1.750,11.029,0.848,0.424,0.106,3.552,2.863,3.765,8.802,2.333,4.030,6.310,0.212,14.400,38.735,46.865
1333,知内町,2441,20.442,18.845,5.612,0.123,15.977,12.495,6.350,0.287,1.721,6.719,0.655,0.369,1.188,3.769,2.048,3.113,7.333,2.417,4.179,4.424,0.778,26.259,28.819,44.922
1334,木古内町,2057,7.973,6.223,2.285,0.000,18.765,9.869,0.681,0.340,5.688,12.931,0.924,0.729,2.382,4.959,2.528,2.042,14.050,1.507,5.202,7.146,0.000,10.258,28.634,61.108
1337,七飯町,12436,10.043,9.754,0.056,0.040,9.368,10.236,0.241,0.555,6.425,15.133,1.335,1.311,1.351,5.597,3.852,5.323,15.343,1.174,6.192,3.345,3.080,10.421,20.269,69.311
1343,鹿部町,2015,1.241,1.042,37.965,0.000,5.906,17.072,0.199,0.050,2.432,7.692,0.645,0.199,0.248,4.318,2.531,2.283,6.650,1.935,3.821,4.764,0.050,39.225,22.989,37.786
1345,森町,7841,9.361,8.723,13.914,0.115,8.621,20.163,0.561,0.166,4.400,10.866,1.632,0.472,0.650,4.145,2.921,2.232,8.698,1.696,4.655,4.234,0.497,23.391,29.044,47.565
1346,八雲町,8571,9.427,8.225,11.259,0.047,9.462,9.450,0.607,0.082,3.535,11.504,1.085,0.607,1.645,4.865,2.438,4.037,15.004,2.077,4.842,7.549,0.478,20.785,19.050,60.164
1347,長万部町,2605,5.336,4.415,14.434,0.077,8.407,13.436,0.461,0.115,5.144,11.209,1.228,0.307,0.576,7.025,2.726,4.031,8.522,3.378,7.524,5.950,0.115,19.792,21.945,58.263
1360,檜山振興局,17971,17.150,16.081,3.817,0.150,11.546,5.921,0.367,0.161,2.977,10.912,1.397,0.529,1.274,5.103,2.832,4.719,13.422,3.010,5.236,8.892,0.584,21.090,17.721,61.189
1361,江差町,3852,7.684,7.061,2.778,0.156,10.540,4.491,0.961,0.234,2.882,13.422,2.336,1.064,2.362,5.504,4.154,4.907,15.343,2.129,5.556,12.695,0.805,10.547,15.310,74.143
1362,上ノ国町,2154,12.953,11.235,4.178,0.093,19.545,8.589,0.232,0.186,2.786,11.096,1.903,0.325,0.743,4.364,3.807,2.878,12.999,1.903,4.550,6.546,0.325,17.187,28.319,54.495
1363,厚沢部町,2055,32.895,29.781,0.049,0.049,8.467,6.083,0.292,0.195,3.260,8.662,1.314,0.146,0.633,3.796,1.752,4.964,12.165,2.920,5.547,5.353,1.460,33.432,14.815,51.753
1364,乙部町,1761,8.802,8.120,6.814,0.227,13.288,14.253,0.227,0.398,2.612,11.073,1.931,0.341,0.681,5.224,3.066,4.032,13.061,3.066,4.089,6.587,0.227,15.652,27.832,56.517
1367,奥尻町,1347,2.004,1.856,9.206,0.000,9.577,3.118,0.223,0.000,4.529,9.577,0.891,0.297,0.223,8.760,1.707,6.904,8.686,2.747,5.865,25.316,0.371,11.252,12.742,76.006
1370,今金町,2825,28.814,27.752,0.212,0.000,8.814,4.850,0.177,0.000,2.584,10.549,0.779,0.531,1.947,4.602,1.876,6.549,12.354,4.000,5.239,5.168,0.956,29.307,13.796,56.898
1371,せたな町,3977,20.996,20.417,5.984,0.352,11.617,3.797,0.151,0.126,2.942,10.184,0.629,0.478,0.981,4.853,2.540,3.671,14.961,3.872,5.431,6.412,0.025,26.987,15.770,57.243
1390,後志総合振興局,46463,15.636,15.081,2.286,0.088,10.051,6.883,1.655,0.155,3.394,11.777,1.158,1.037,1.748,8.168,3.314,3.874,12.337,2.243,5.960,7.143,1.093,18.120,17.210,64.670
1391,島牧村,697,5.452,4.878,19.799,0.143,8.034,5.882,0.000,0.000,2.152,7.461,0.717,0.000,0.143,5.739,1.291,4.591,19.369,4.304,3.874,10.904,0.143,25.287,14.080,60.632
1392,寿都町,1393,1.436,1.292,8.399,0.359,9.404,12.276,0.431,0.072,2.441,12.994,1.364,0.215,0.503,4.164,3.374,4.666,20.603,2.800,5.599,8.399,0.503,9.885,22.150,67.965
1393,黒松内町,1331,13.674,12.547,0.751,0.075,8.039,3.681,0.977,0.000,1.503,6.161,0.526,1.052,0.977,6.612,2.780,7.137,30.503,1.953,5.034,8.415,0.150,14.447,11.813,73.740
1394,蘭越町,2388,28.392,26.256,0.251,0.168,10.888,2.429,0.042,0.042,3.392,10.720,0.838,0.670,1.424,7.077,2.345,3.141,11.432,2.764,5.821,7.035,1.131,28.971,13.638,57.391
1395,ニセコ町,2523,19.025,18.272,0.000,0.040,6.897,2.021,0.317,0.357,4.162,10.384,0.793,1.863,1.625,19.976,5.351,5.628,7.769,2.338,4.954,5.272,1.229,19.262,9.069,71.669
1396,真狩村,1144,42.657,42.220,0.000,0.000,3.934,1.399,0.350,0.175,3.322,7.780,0.787,0.262,1.486,6.469,2.185,4.021,8.741,3.059,4.021,7.517,1.836,43.455,5.432,51.113
1397,留寿都村,1213,29.843,29.431,0.000,0.000,3.875,3.133,0.000,0.000,3.215,7.667,0.412,0.742,0.247,23.166,4.699,3.545,6.925,2.308,3.380,6.348,0.495,29.992,7.042,62.966
1398,喜茂別町,1202,22.879,22.629,0.000,0.083,5.740,5.408,0.083,0.083,4.576,9.651,1.082,0.499,0.166,13.894,5.907,3.328,11.897,1.664,5.241,6.905,0.915,23.090,11.335,65.575
1399,京極町,1546,21.669,20.310,0.129,0.453,10.802,7.956,0.259,0.000,3.946,11.772,0.712,1.229,1.035,4.981,3.687,2.717,13.260,3.687,4.463,6.921,0.323,21.869,19.273,58.858
1400,倶知安町,7820,9.054,7.954,0.013,0.038,7.174,4.616,1.125,0.192,3.593,13.798,1.228,2.519,1.547,11.215,4.412,4.143,10.639,2.455,7.199,12.110,2.928,9.340,12.185,78.475
1401,共和町,3496,26.230,26.173,0.029,0.000,14.016,7.923,9.554,0.172,3.003,6.522,0.629,0.458,4.662,3.032,1.259,2.546,7.294,1.716,5.978,4.720,0.257,26.326,21.996,51.678
1402,岩内町,6281,2.149,2.070,1.306,0.032,21.366,11.081,1.497,0.143,4.124,13.756,1.704,0.860,2.834,7.356,2.993,2.786,10.667,1.895,7.212,4.999,1.242,3.498,32.887,63.614
1403,泊村,887,1.466,1.240,7.103,0.225,12.627,2.593,16.009,0.000,1.804,8.681,0.789,0.225,3.157,5.975,2.368,3.044,11.725,2.480,11.725,7.666,0.338,8.597,15.498,75.905
1404,神恵内村,472,0.424,0.212,18.008,0.000,8.898,2.542,1.271,0.000,1.695,8.263,0.424,0.847,0.847,8.051,4.661,3.602,16.949,2.754,9.746,11.017,0.000,18.432,11.441,70.127
1405,積丹町,1043,8.245,7.958,20.805,0.096,8.341,5.081,0.000,0.096,1.726,9.108,0.192,0.000,0.096,13.519,3.068,3.068,7.287,2.205,4.602,9.300,3.164,30.000,13.960,56.040
1406,古平町,1574,2.414,2.224,11.817,0.000,10.546,19.123,0.508,0.127,2.859,8.958,0.953,0.127,0.191,6.290,2.986,1.715,13.024,2.224,9.593,6.480,0.064,14.240,29.688,56.071
1407,仁木町,1873,50.614,50.294,0.053,0.107,3.470,3.257,0.160,0.107,1.869,6.514,1.175,0.320,0.374,2.776,1.975,2.723,12.867,1.922,3.577,5.232,0.908,51.131,6.897,41.972
1408,余市町,8938,14.936,14.746,1.712,0.123,7.876,8.682,0.559,0.257,4.017,16.547,1.734,0.917,1.891,4.554,3.334,5.023,15.484,1.913,5.035,5.102,0.302,16.698,16.732,66.569
1409,赤井川村,642,35.047,33.801,0.000,0.000,7.009,4.050,1.090,0.000,0.467,5.452,0.156,0.312,0.623,15.888,1.869,4.517,8.723,1.713,3.583,9.502,0.000,35.047,11.059,53.894
1420,空知総合振興局,34681,27.966,27.721,0.003,0.161,7.621,8.437,0.404,0.297,3.714,10.706,0.712,0.689,1.404,4.363,3.241,2.693,11.718,2.514,5.822,6.147,1.387,28.363,16.447,55.190
1423,南幌町,3983,18.905,18.830,0.000,0.025,8.185,10.068,0.251,0.879,6.854,10.972,0.603,1.532,1.858,4.419,4.369,4.042,11.549,2.134,6.051,4.670,2.636,19.417,18.773,61.810
1424,奈井江町,2584,16.834,16.486,0.000,0.658,11.571,14.551,0.967,0.155,3.870,9.946,1.045,0.503,0.929,4.025,3.135,1.858,15.170,2.051,7.392,5.070,0.271,16.880,26.853,56.267
1425,上砂川町,1157,2.074,1.901,0.000,0.519,12.705,14.088,0.432,0.346,6.655,13.310,0.691,0.605,0.346,5.099,4.149,2.334,17.200,1.383,8.902,8.211,0.951,2.094,27.574,70.332
1427,由仁町,2760,35.290,35.109,0.000,0.254,5.362,9.819,0.362,0.181,3.659,10.507,0.471,0.399,1.087,5.254,4.457,1.232,7.717,2.101,6.449,4.493,0.906,35.612,15.576,48.812
1428,長沼町,5851,31.431,31.328,0.017,0.103,6.734,5.196,0.410,0.359,3.863,10.716,0.718,0.889,2.410,4.683,3.811,2.051,9.947,2.188,5.794,6.563,2.119,32.129,12.293,55.579
